"ICode","ACode","KurzD","KurzE","LangD","LangE","Sort","Farbe","Zu_1","Zu_2","Zu_3","BFH_Bemerkung","Konv_Ba2_Ba3","AutoKonv_Ba2_Ba3","Gattung","Art","BaGr","ba_str","ba_tarif","ba_ekh","ba_ln","ba_BWI1","Zu_2k","Zu_2l","BaEFDAC_2010","Zu_Ba1","Zu_Ba2","Zu_Ba3","Zu_Ba3korr","Zu_BaEU","Zu_BaStf","Zu_BaGattung","Zu_BaFBa","Zu_BaBWI","Zu_BaBWIb","Zu_BaBWIc","Zu_BaBWId","Zu_BaStammhoehe","Zu_BaWSE","Zu_BaWehamDF","Zu_BaWehamW","Zu_BaWehamW2012","Zu_BaBDat20","Zu_BaLN","Zu_Ba_EiBuFiKi","Zu_Ba_LhNh","Konv_Ba1_Ba2","bart_bze","bart_bze_genau","Zu_2yz","Konv_Ba2_Ba2yz","Zu_ba_ehk2012","Zu_Wachs2012","Zu_BaVerj_BBuBE","VerjMinN_ha_BBuBE","Zu_BaAlle","Zu_BaHolz_Alle"
220,"220","ZPA","ZPA","Aspe, Zitterpappel","common aspen (Populus tremula)",3157,,0,1,1,"",220,220,"Populus","tremula","ALN","PA ","BU ","ALN","L","PA ",1,1,"31002004",30923,220,220,220,30001,32013,32224,30232,4,4,4,14,4,30011,30104,30107,30122,19,31000,31102,31000,220,"Pa ","Pa ",1,220,"5  ",22,12990,32767,9999,9999
221,"221","SPA","SPA","Europäische Schwarzpappel (+Hybriden)","European black poplar (+ hybrids)",3158,,0,1,1,"",221,221,"Populus","nigra","ALN","PA ","BU ","ALN","L","PA ",1,1,"31002008",30923,221,221,221,30001,32013,32224,30232,4,4,4,14,4,30011,30104,30107,30122,19,31000,31102,31000,221,"Pa ","Pa ",1,221,"5  ",22,12990,32767,9999,9999
222,"222","GPA","GPA","Graupappel (+Hybriden)","grey poplar (+hybrids)",3159,,0,1,1,"",222,222,"Populus","x canescens","ALN","PA ","BU ","ALN","L","PA ",1,1,"31002002",30923,222,222,222,30001,32013,32224,30232,4,4,4,14,4,30011,30104,30107,30122,19,31000,31102,31000,222,"Pa ","Pa ",1,222,"5  ",22,12990,32767,9999,9999
223,"223","WPA","WPA","Silberpappel, Weißpappel","silver poplar (Populus alba)",3160,,0,1,1,"",223,223,"Populus","alba","ALN","PA ","BU ","ALN","L","PA ",1,1,"31002001",30923,223,223,223,30001,32013,32224,30232,4,4,4,14,4,30011,30104,30107,30122,19,31000,31102,31000,223,"Pa ","Pa ",1,223,"5  ",22,12990,32767,9999,9999
224,"224","BPA","BPA","Balsampappel (+Hybriden)","balsam poplar (Populus balsamifera +hybrids)",3161,,0,1,1,"",224,224,"Populus","trichocarpa x maximoviczii","ALN","PA ","BU ","ALN","L","BPA",1,1,"31002999",30905,224,224,224,30000,32013,32224,30232,4,4,4,14,4,30011,30104,30107,30122,20,31000,31102,31000,224,"Pa ","Pa ",1,224,"5  ",22,12990,32767,9999,9999
230,"230","VB","VB","Vogelbeere","European rowan (Sorbus aucuparia)",3162,,0,1,1,"",230,230,"Sorbus","aucuparia","ALN","ES ","BU ","ALN","L","VB ",1,1,"80028002",30935,230,230,230,30001,32010,32295,30232,4,4,4,14,4,30011,30104,30108,30129,36,31000,31102,31000,230,"Vbe","Vbe",1,230,"5  ",29,12990,32767,9999,9999
240,"240","WEI","WEI","Weide","willow",3163,,0,1,1,"",240,240,"Salix","spec.","ALN","ES ","BU ","ALN","L","WEI",1,1,"31001999",30936,240,240,240,30001,32010,32240,30232,4,4,4,14,4,30011,30104,30107,30129,34,31000,31102,31000,240,"Wie","Wie",1,240,"5  ",29,12990,32767,9999,9999
250,"250","GTK","GTK","Gewöhnliche Traubenkirsche","bird cherry (Prunus padus)",3164,,0,1,1,"",250,250,"Prunus","padus","ALN","ES ","BU ","ALN","L","KIR",1,1,"80035017",30919,250,250,250,30001,32010,32252,30232,4,4,4,14,4,30011,30104,30108,30129,29,31000,31102,31000,250,"sLb",,1,250,"5  ",29,12990,32767,9999,9999
251,"251","VK","VK","Vogelkirsche","wild cherry (Prunus avium)",3165,,0,1,1,"",251,251,"Prunus","avium","ALN","ES ","BU ","ALN","L","KIR",1,1,"80035014",30919,251,251,251,30001,32010,32252,30232,4,4,4,14,4,30011,30104,30107,30129,29,31000,31102,31000,251,"Kir","Kir",1,251,"5  ",29,12990,32767,9999,9999
252,"252","STK","STK","Spätblühende Traubenkirsche","black cherry (Prunus serotina)",3166,,0,1,1,"",252,252,"Prunus","serotina","ALN","ES ","BU ","ALN","L","KIR",0,1,,30919,252,252,252,30000,32010,32252,30232,4,4,4,14,4,30011,30104,30107,30129,29,31000,31102,31000,252,"sLb",,0,252,"5  ",29,12990,32767,9999,9999
290,"290","SOLN","SOLN","Sonstige Lb. mit niedriger Lebensdauer","misc. deciduous trees with short life expectancy",3167,,0,1,1,"",290,290,"_(ALN)","(sonstige)","ALN","ES ","BU ","ALN","L","SLB",1,0,"999",30929,290,290,290,30000,32010,32290,30232,4,4,4,14,4,30011,30104,30107,30129,35,31000,31102,31000,290,"sLb",,1,290,"5  ",29,12990,32767,9999,9999
291,"291","FAU","FAU","Gemeiner Faulbaum, Pulverholz","Alder Buckthorn (Rhamnus frangula)",3168,,0,1,0,"Faulbaum gilt NICHT mehr als Baum, sondern als Strauch",,291,"Rhamnus","frangular","ALN","ES ","BU ","ALN","L","SLB",1,1,"103004001",30929,291,,,30001,32010,,30232,4,4,4,14,4,30011,30104,30108,30129,35,31000,31102,31000,291,"sLb",,0,291,"5  ",29,,,9999,9999
292,"292","WAP","WAP","Holzapfel, Wildapfel","European crab apple (Malus sylvestris)",3169,,0,1,1,"",292,292,"Malus","sylvestris","ALN","ES ","BU ","ALN","L","SLB",1,1,"80027003",30929,292,292,292,30001,32010,32292,30232,4,4,4,14,4,30011,30104,30109,30129,35,31000,31102,31000,292,"sLb",,1,292,"5  ",29,12990,32767,9999,9999
293,"293","WBI","WBI","Holzbirne, Wildbirne","European wild pear (Pyrus pyraster)",3170,,0,1,1,"",293,293,"Pyrus","communis","ALN","ES ","BU ","ALN","L","SLB",1,1,"80026013",30929,293,293,293,30001,32010,32293,30232,4,4,4,14,4,30011,30104,30109,30129,35,31000,31102,31000,293,"sLb",,1,293,"5  ",29,12990,32767,9999,9999
294,"294","HAS","HAS","Baumhasel","Turkish hazel (Corylus colurna)",3171,,0,1,0,"",290,290,"Corylus","colurna","ALN","ES ","BU ","ALN","L","SLB",1,1,"35003999",30929,294,,290,30001,32010,,30232,4,4,4,14,4,30011,30104,30107,30129,35,31000,31102,31000,294,"sLb",,1,294,"5  ",29,,,9999,9999
295,"295","ELS","ELS","Elsbeere","wild service tree (Sorbus torminalis)",3172,,0,1,1,"",295,295,"Sorbus","torminalis","ALN","ES ","BU ","ALN","L","SLB",1,1,"80028003",30909,295,295,295,30001,32010,32295,30232,4,4,4,14,4,30011,30104,30109,30129,32,31000,31102,31000,295,"sLb",,1,295,"5  ",29,12990,32767,9999,9999
296,"296","GOT","GOT","Gemeiner Götterbaum","tree of heaven (Ailanthus altissima)",3173,,0,1,0,"",290,290,"Ailantus","altissima","ALN","ES ","BU ","ALN","L","SLB",0,1,,30929,296,,290,30000,32010,,30232,4,4,4,14,4,30011,30104,30107,30129,35,31000,31102,31000,296,"sLb",,0,290,"5  ",29,,,9999,9999
299,"299","ÜLN","ÜLN","Übrige Lb. mit niedriger Lebensdauer","remaining deciduous trees with short life expectancy",3174,,0,1,0,"",290,290,"_(ÜLN)","spec.","ALN","ES ","BU ","ALN","L","SLB",0,1,,30929,299,,290,30000,32010,,30232,4,4,4,14,4,30011,30104,30107,30129,35,31000,31102,31000,299,"sLb",,0,290,"5  ",29,,,9999,9999
901,"AH ","AH","AH","Ahorn","maple (Acer spec.)",,,1,0,0,"",,901,"Acer","spec.","ALH","ES ","BU ","ALH","L","AH ",1,1,,30901,-1,,,,32010,32142,30231,3,3,3,14,3,30011,30104,30107,,22,31000,31102,31000,140,"Ah ","Ah ",0,,"5  ",14,,,9999,9999
902,"BAH","BAH","BAH","Bergahorn","sycamore maple (Acer pseudoplatanus)",,,1,0,0,"",140,140,"Acer","pseudoplatanus","ALH","ES ","BU ","ALH","L","BAH",1,1,,30902,-1,,,30001,32010,32142,30231,3,3,3,14,3,30011,30104,30107,,23,31000,31102,31000,140,"BAh","BAh",0,140,"5  ",14,,,9999,9999
903,"BI ","BI","BI","Birke","birch",,,1,0,0,"",200,200,"Betula","pendula","ALN","BI ","BU ","ALN","L","BI ",1,1,,30903,-1,,,30001,32011,32201,30228,4,4,4,14,4,30011,30104,30109,,26,31000,31102,31000,200,"Bi ","Bi ",0,200,"5  ",20,,,9999,9999
904,"BLB","BLB","BLB","Buntlaubbaum ?! = sLb","other deciduous trees with high life expectancy",,,1,0,0,"",,904,"_(Lb.)","spec.","ALH","ES ","BU ","ALH","L","BLB",1,1,,30929,-1,,,,32010,,30231,3,3,3,14,3,30011,30104,30107,,35,31000,31102,31000,190,"sLb",,0,,"5  ",19,,,9999,9999
905,"BPA","BPA","BPA","Balsampappel","balsam poplar (Populus balsamifera)",,,1,0,0,"",224,224,"Populus","trichocarpa x maximoviczii","ALN","PA ","BU ","ALN","L","BPA",1,1,,30905,-1,,,30000,32013,32224,30232,4,4,4,14,4,30011,30104,30107,,20,31000,31102,31000,224,"Pa ","Pa ",0,224,"5  ",22,,,9999,9999
906,"BU ","BU","BU","Buche","beech",3106,,1,0,0,"",100,100,"Fagus","sylvatica","BU ","BU ","BU ","BU ","L","BU ",1,1,,30906,-1,,,30001,32007,32100,30226,1,1,1,11,1,30016,30104,30107,,15,31000,31102,31000,100,"RBu","RBu",0,100,"5  ",10,,,9999,9999
907,"DGL","DGL","DGL","Douglasie","Douglas fir (Pseudotsuga menziesii)",,,1,0,0,"",40,40,"Pseudotsuga","menziesii","DGL","DGL","DGL","DGL","N","DGL",1,1,,30907,-1,,,30000,32004,32040,30223,7,7,7,17,,30012,30103,30103,,8,32000,31103,32000,40,"Dgl","Dgl",0,40,"2  ",4,,,9999,9999
908,"EI ","EI","EI","Eiche","oak",3001,,1,0,0,"",,908,"Quercus","spec.","EI ","EI ","EI ","EI ","L","EI ",1,1,,30908,-1,,,,32008,32112,30227,2,2,2,12,2,30013,30104,30107,,17,31000,31101,31000,110,"Ei ","Ei ",0,,"6  ",11,,,9999,9999
909,"EL ","EL","EL","Elsbeere","wild service tree (Sorbus torminalis)",,,1,0,0,"",295,295,"Sorbus","torminalis","ALN","ES ","BU ","ALN","L","SLB",1,1,,30909,-1,,,30001,32010,32295,30232,4,4,4,14,4,30011,30104,30109,,32,31000,31102,31000,295,"sLb",,0,295,"5  ",29,,,9999,9999
910,"ELA","ELA","ELA","Europäische Lärche","European larch (Larix decidua)",,,1,0,0,"",50,50,"Larix","decidua","LAE","ELA","LAE","LAE","N","ELA",1,1,,30910,-1,,,30001,32005,32051,30224,9,9,9,19,,30012,30101,30105,,10,32000,31104,32000,50,"ELa","ELa",0,50,"4  ",5,,,9999,9999
911,"ERL","ERL","ERL","Erle","alder",,,1,0,0,"",210,210,"Alnus","spec.","ALN","ERL","BU ","ALN","L","ERL",1,1,,30911,-1,,,,32012,32212,30229,4,4,4,14,4,30011,30104,30109,,28,31000,31102,31000,210,"Er ","Er ",0,210,"5  ",21,,,9999,9999
912,"ES ","ES","ES","Esche","ash",,,1,0,0,"",120,120,"Fraxinus","exelsior","ALH","ES ","BU ","ALH","L","ES ",1,1,,30912,-1,,,30001,32010,32120,30230,3,3,3,14,3,30011,30104,30106,,21,31000,31102,31000,120,"GEs",,0,120,"5  ",12,,,9999,9999
913,"FAH","FAH","FAH","Feldahorn","field maple (Acer campestre)",,,1,0,0,"",142,142,"Acer","campestre","ALH","ES ","BU ","ALH","L","FAH",1,1,,30913,-1,,,30001,32010,32142,30231,3,3,3,14,3,30011,30104,30107,,25,31000,31102,31000,142,"Ah ","Ah ",0,142,"5  ",14,,,9999,9999
914,"FI ","FI","FI","Fichte","spruce",,,1,0,0,"",10,10,"Picea","abies","FI ","FI ","FI ","FI ","N","FI ",1,1,,30914,-1,,,,32001,32019,30221,5,5,5,15,,30014,30101,30101,,1,32000,31103,32000,10,"GFi","GFi",0,10,"0  ",1,,,9999,9999
915,"HBU","HBU","HBU","Hainbuche (Weißbuche)","hornbeam",,,1,0,0,"",130,130,"Carpinus","betulus","ALH","ES ","BU ","ALH","L","HBU",1,1,,30915,-1,,,30001,32010,32130,30231,3,3,3,14,3,30011,30104,30108,,16,31000,31102,31000,130,"Hbu","Hbu",0,130,"5  ",19,,,9999,9999
916,"JLA","JLA","JLA","Japanische Lärche","Japanese larch (Larix kaempferi)",,,1,0,0,"",51,51,"Larix","kaempferi","LAE","JLA","LAE","LAE","N","JLA",1,1,,30916,-1,,,30000,32006,32051,30224,9,9,9,19,,30012,30101,30105,,11,32000,31104,32000,51,"JLa","JLa",0,51,"4  ",5,,,9999,9999
917,"KA ","KA","KA","Kastanie (Roßkastanie)","horse chestnut (Aesculus hippocastanum)",,,1,0,0,"",180,180,"Aesculus","hippocastanum","ALH","ES ","BU ","ALH","L","KA ",1,1,,30917,-1,,,,32010,,30231,3,3,3,14,3,30011,30104,30107,,33,31000,31102,31000,180,"sLb",,0,180,"5  ",19,,,9999,9999
918,"KI ","KI","KI","Kiefer","pine",,,1,0,0,"",20,20,"Pinus","sylvestris","KI ","KI ","KI ","KI ","N","KI ",1,1,,30918,-1,,,,32003,32029,30222,8,8,8,18,,30015,30101,30104,,5,32000,31104,32000,20,"Ki ","Ki ",0,20,"3  ",2,,,9999,9999
919,"KIR","KIR","KIR","Kirsche","Prunus spec.",,,1,0,0,"",,919,"Sorbus","spec.","ALN","ES ","BU ","ALN","L","KIR",1,1,,30919,-1,,,,32010,32295,30231,4,4,4,14,4,30011,30104,30107,,29,31000,31102,31000,190,"Kir","Kir",0,,"5  ",29,,,9999,9999
920,"KTA","KTA","KTA","Küstentanne","Grand fir (Abies grandis)",,,1,0,0,"",33,33,"Abies","grandis","TA ","TA ","TA ","TA ","N","KTA",1,1,,30920,-1,,,30000,32002,32039,30225,6,6,6,16,,30012,30102,30103,,4,32000,31103,32000,33,"KTa","KTa",0,39,"1  ",4,,,9999,9999
921,"LAE","LAE","LAE","Lärche","larch",,,1,0,0,"",,921,"Larix","spec.","LAE","ELA","LAE","LAE","N","LAE",1,1,,30921,-1,,,,32005,32051,30224,9,9,9,19,,30012,30101,30105,,9,32000,31104,32000,50,"Lae","Lae",0,,"4  ",5,,,9999,9999
922,"LI ","LI","LI","Linde","linden tree",,,1,0,0,"",150,150,"Tilia","spec.","ALH","ES ","BU ","ALH","L","LI ",1,1,,30922,-1,,,,32010,32150,30231,3,3,3,14,3,30011,30104,30107,,27,31000,31102,31000,150,"Li ","Li ",0,150,"5  ",19,,,9999,9999
923,"PA ","PA","PA","Pappel","poplar",,,1,0,0,"",,923,"Populus","spec.","ALN","PA ","BU ","ALN","L","PA ",1,1,,30923,-1,,,,32013,32224,30232,4,4,4,14,4,30011,30104,30107,,19,31000,31102,31000,220,"Pa ","Pa ",0,,"5  ",22,,,9999,9999
924,"REI","REI","REI","Roteiche","Northern red oak (Quercus rubra)",3003,,1,0,0,"",112,112,"Quercus","rubra","EI ","REI","BU ","ALH","L","REI",1,1,,30924,-1,,,30000,32009,32112,30227,2,2,2,12,2,30011,30104,30106,,18,31000,31101,31000,112,"REi","REi",0,112,"6  ",10,,,9999,9999
925,"ROB","ROB","ROB","Robinie","black locust (Robinia pseudoacacia)",,,1,0,0,"",160,160,"Robinia","pseudoacacia","ALH","ES ","BU ","ALH","L","ROB",1,1,,30925,-1,,,30000,32010,32160,30231,3,3,3,14,3,30011,30104,30107,,31,31000,31102,31000,160,"Rob","Rob",0,160,"5  ",19,,,9999,9999
926,"SAH","SAH","SAH","Spitzahorn","Norway maple (Acer platanoides)",,,1,0,0,"",141,141,"Acer","platanoides","ALH","ES ","BU ","ALH","L","SAH",1,1,,30926,-1,,,30001,32010,32142,30231,3,3,3,14,3,30011,30104,30107,,24,31000,31102,31000,141,"SAh","SAh",0,141,"5  ",14,,,9999,9999
927,"SFI","SFI","SFI","Sitkafichte","sitka spruce (Picea sitchensis)",,,1,0,0,"",12,12,"Picea","sitchensis","FI ","FI ","FI ","FI ","N","SFI",1,1,,30927,-1,,,30000,32001,32019,30221,5,5,5,15,,30012,30101,30101,,2,32000,31103,32000,12,"SFi","SFi",0,19,"0  ",1,,,9999,9999
928,"SKI","SKI","SKI","Schwarzkiefer","European black pine (Pinus nigra)",,,1,0,0,"",22,22,"Pinus","nigra","KI ","KI ","KI ","KI ","N","SKI",1,1,,30928,-1,,,30001,32003,32029,30222,8,8,8,18,,30012,30101,30104,,6,32000,31104,32000,22,"SKi","SKi",0,22,"3  ",2,,,9999,9999
929,"SLB","SLB","SLB","sonstige Laubbäume","other deciduous trees",,,1,0,0,"",,929,"_(Lb.)","spec.","ALN","ES ","BU ","ALN","L","SLB",1,1,,30929,-1,,,,32010,,30232,4,4,4,14,4,30011,30104,30107,,35,31000,31102,31000,190,"sLb",,0,,"5  ",29,,,9999,9999
930,"SNB","SNB","SNB","sonstige Nadelbäume","other coniferous trees",,,1,0,0,"",,930,"_(Nb.)","spec.","FI ","FI ","FI ","FI ","N","SNB",1,1,,30930,-1,,,,32001,32090,30221,5,5,5,15,,30012,30101,30101,,14,32000,31103,32000,90,"sNb",,0,,"0  ",1,,,9999,9999
931,"TA ","TA","TA","Tanne","fir",,,1,0,0,"",39,39,"Abies","alba","TA ","TA ","TA ","TA ","N","TA ",1,1,,30931,-1,,,30000,32002,32039,30225,6,6,6,16,,30012,30102,30102,,3,32000,31103,32000,30,"Ta ","Ta ",0,30,"1  ",3,,,9999,9999
932,"THU","THU","THU","Thuja","Thuja spec.",,,1,0,0,"",90,90,"Thuja","spec.","FI ","FI ","FI ","FI ","N","THU",1,1,,30932,-1,,,,32001,,30221,5,5,5,15,,30012,30101,30101,,12,32000,31103,32000,91,"sNb",,0,90,"0  ",1,,,9999,9999
933,"TSU","TSU","TSU","Tsuga","Tsuga spec.",,,1,0,0,"",90,90,"Tsuga","spec.","FI ","FI ","FI ","FI ","N","TSU",1,1,,30933,-1,,,,32001,,30221,5,5,5,15,,30012,30101,30101,,13,32000,31103,32000,10,"sNb",,0,90,"0  ",1,,,9999,9999
934,"UL ","UL","UL","Ulme (Rüster)","elm",,,1,0,0,"",170,170,"Ulmus","spec.","ALH","ES ","BU ","ALH","L","UL ",1,1,,30934,-1,,,,32010,32170,30231,3,3,3,14,3,30011,30104,30107,,30,31000,31102,31000,170,"Ul ","Ul ",0,170,"5  ",19,,,9999,9999
935,"VB ","VB","VB","Vogelbeere","European rowan (Sorbus aucuparia)",,,1,0,0,"",230,230,"Sorbus","aucuparia","ALN","ES ","BU ","ALN","L","VB ",1,1,,30935,-1,,,30001,32010,32295,30232,4,4,4,14,4,30011,30104,30108,,36,31000,31102,31000,230,"Vbe","Vbe",0,230,"5  ",29,,,9999,9999
936,"WEI","WEI","WEI","Weide","willow",,,1,0,0,"",240,240,"Salix","spec.","ALN","ES ","BU ","ALN","L","WEI",1,1,,30936,-1,,,30001,32010,32240,30232,4,4,4,14,4,30011,30104,30107,,34,31000,31102,31000,240,"Wie","Wie",0,240,"5  ",29,,,9999,9999
937,"WEY","WEY","WEY","Weymouthkiefer","eastern white pine (Pinus strobus)",,,1,0,0,"",25,25,"Pinus","strobus","KI ","KI ","KI ","KI ","N","WEY",1,1,,30937,-1,,,30000,32003,32029,30222,8,8,8,18,,30012,30101,30104,,7,32000,31104,32000,25,"sNb",,0,29,"3  ",2,,,9999,9999
950,"Bl ","Blöße","temp.unstocked area","Blöße","temporarily unstocked area
",,,1,1,0,"",950,950,,,,,,,,,0,0,,,,,,,,,,,,10,,,,,-1,,,,,,,,,0,952,,,,,9999,9999
951,"Lü ","Lücke","gap","Lücke","gap",,,1,1,0,"",951,951,,,,,,,,,0,0,,,,,,,,,,,11,11,,,,,-1,,,,,,,,,0,951,,,,,9999,9999
